part_no,Part name,slno,section name,total electors,total part votes
155,"MunicipalMiddleSchool,VengatasamyStreet,Mullaivadi,Attur-636141TerracedNorthernEastSideBuildingFacingSouthWestWing",3,"3-Attur(M),Ward5,KeelPariStreet 371",483,86
155,"MunicipalMiddleSchool,VengatasamyStreet,Mullaivadi,Attur-636141TerracedNorthernEastSideBuildingFacingSouthWestWing",4,"4-Attur(M),Ward5,NorthPavendharStreet 457",483,15
156,"MunicipalMiddleSchool-VenkatasamySt.Mullaivadi-636141,TerracedSouthBuildingFacingNorthWestWing",1,"1-Attur(M),Ward7,AvvaiyarStreet 1",1109,756
156,"MunicipalMiddleSchool-VenkatasamySt.Mullaivadi-636141,TerracedSouthBuildingFacingNorthWestWing",2,"2-Athur(M),Ward7,DuraisamyPerumalStreet 714",1109,172
156,"MunicipalMiddleSchool-VenkatasamySt.Mullaivadi-636141,TerracedSouthBuildingFacingNorthWestWing",3,"3-Attur(M),Ward6,RamasamiStreet 884",1109,89
156,"MunicipalMiddleSchool-VenkatasamySt.Mullaivadi-636141,TerracedSouthBuildingFacingNorthWestWing",4,"4-Attur(M),Ward6,ManickamStreet 972",1109,92
157,"MunicipalMiddleSchool-VenkatasamySt.Mullaivadi-636141,TerracedBuildingFacingEastSouthWing",1,"1-Attur(M),Ward6,VenkatasamiStreet 1",638,238
157,"MunicipalMiddleSchool-VenkatasamySt.Mullaivadi-636141,TerracedBuildingFacingEastSouthWing",2,"2-Attur(M),Ward7,OldMullaivadiStreet 235",638,400
158,"MunicipalMiddleSchool-VenkatasamySt.Mullaivadi-636141,TerracedNorthernEastSideBuildingFacingSouthMiddleWing",1,"1-Attur(M),Ward7,NewKallanathamRoad 1",877,877
159,"C.S.I.HighSchool-KamarajanarRoadAttur-636102,TerracedNorthBuildingFacingEastRoomNo.7",1,"1-Attur(M),Ward9,SadagopanStreet 1",652,309
159,"C.S.I.HighSchool-KamarajanarRoadAttur-636102,TerracedNorthBuildingFacingEastRoomNo.7",2,"2-Attur(M),Ward8,LakshmipuramMudhalSandhu 307",652,164
159,"C.S.I.HighSchool-KamarajanarRoadAttur-636102,TerracedNorthBuildingFacingEastRoomNo.7",3,"3-Attur(M),Ward8,Laskhmipuram2ndSandhu 468",652,179
160,"C.S.I.HighSchool-KamarajanarRoadAttur-636102,TerracedBuildingFacingEastNorthWingRoomNo8",1,"1-Attur(M),Ward8,NehruNagar 1",822,822
